"You created the order.","Та захиалга үүсгэлээ."
"Order saving error: %1","Захиалга хадгалалтын алдаа: %1"
"Please choose a payment method.","Төлбөрийн хэлбэр сонгоно уу."
"We can\'t process your order right now. Please try again later.","Бид таны захиалгыг гүйцэтгэж чадсангүй. Та дараа дахин оролдоно уу."
"Cannot place order.","Захиалгыг хийж болохгүй байна."
"Credit Card: xxxx-%1","Кредит карт: xxxx-%1"
"amount %1","дүн %1"
failed.,амжилтгүй болсон.
successful.,амжилттай.
"Authorize.Net Transaction ID %1.","Authorize.Net гүйлгээний ID %1."
authorize,эрх олгох
"authorize and capture","эрх олгох ба бичих"
capture,бичих
refund,буцаалт
void,цуцлалт
"Gateway error: %1","гарцын алдаа: %1"
"Something went wrong in the payment gateway.","Төлбөрийн гарц дээр ямар нэг юм буруу байлаа."
"Invalid amount for capture.","Бичилтэнд зориулагдсан дүн хүчингүй."
"Payment capturing error.","Төлбөр бичилтийн алдаа."
"Invalid transaction ID.","Гүйлгээний ID хүчингүй."
"Payment voiding error.","Төлбөр цуцлалтын алдаа."
"Invalid amount for refund.","Буцаан олголтын дүн хүчингүй."
"Payment refunding error.","Төлбөр буцаан олголтын алдаа."
"The transaction was declined because the response hash validation failed.","Хариуны код шалгалт алдаатай учир гүйлгээ цуцлагдлаа."
"This payment didn\'t work out because we can\'t find this order.","Энэ захиалгыг олоогүй учраас төлбөр боловсруулагдсангүй."
"There was a payment authorization error.","Төлбөрийн зөвшөөрөл дээр алдаа гарлаа."
"Please enter a transaction ID to authorize this payment.","Төлбөрийг зөвшөөрөхийн тулд гүйлгээний дугаар оруулна уу."
"Something went wrong: the paid amount doesn\'t match the order amount. Please correct this and try again.","Ямар нэг зүйл буруу: Төлсөн дүн захиалгын дүнтэй тохирохгүй байна. Зассаныхаа дараа дахин оролдоно уу."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Гүйлгээ %1 зөвшөөрөгдсөн. Дүн %2. Гүйлгээний төлөв ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Гүйлгээ %1 цуцлагдсан. Гүйлгээний төлөв ""%2"". Дүн %3."
"Authorize Only","Зөвхөн зөвшөөрөх"
"Authorize and Capture","Зөвшөөрөх ба бичих"
"Unable to get transaction details. Try again later.","Гүйлгээний дэлгэрэнгүйг авах боломжгүй. Дараа дахин оролдоно уу."
"Credit Card Type","Кредит картны төрөл"
"Credit Card Number","Кредит картны дугаар"
"Expiration Date","Дуусах огноо"
"Card Verification Number","Карт баталгаажуулах дугаар"
"Fraud Detection ","Луйврын илрүүлэлт"
"FDS Filter Action","FDS шүүлтүүр үйлдэл"
"AVS Response","AVS хариу"
"Card Code Response","Карт кодны хариу"
"CAVV Response","CAVV хариу"
"Fraud Filters","Залилан шүүлтүүр"
Enabled,Идэвхитэй
"Payment Action","Төлөлтийн үйлдэл"
Title,Гарчиг
"API Login ID","API нэвтрэх ID"
"Transaction Key","Гүйлгээний түлхүүр"
"Merchant MD5","Худалдааны MD5"
"New Order Status","Шинэ захиалгын статус"
"Test Mode","Тест горим"
"Gateway URL","Гарцын URL"
"Transaction Details URL","Гүйлгээний дэлгэрэнгүй URL"
"Accepted Currency","Зөвшөөрөгдсөн мөнгөн тэмдэгт"
Debug,Дебаг
"Email Customer","Хэрэглэгчийн эмэйл"
"Merchant's Email","Худалдааны эмэйл"
"Credit Card Types","Кредит картны төрөл"
"Credit Card Verification","Кредит картны баталгаажуулалт"
"Payment from Applicable Countries","Таарсан улсуудаас төлөлт"
"Payment from Specific Countries","Тодорхой улсуудаас төлөлт"
"Minimum Order Total","Захиалгын хамгийн бага дүн"
"Maximum Order Total","Захиалгын хамгийн их дүн"
"Sort Order","Эрэмбэлэх"
