"Invalid Form Key. Please refresh the page.","Формын түлхүүр хүчингүй. Хуудсыг шинээр дуудна уу."
"You entered an invalid Secret Key. Please refresh the page.","Та буруу нууц түлхүүр оруулсан байна. Хуудсыг шинээр дуудна уу."
"Cache Storage Management","Кеш агууламж менежемент"
"Flush Magento Cache","Магенто кеш хоослох"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Кеш агууламж илүү мэдээлэл агуулж байж магадгүй. Хоослоно гэдэгтээ итгэлтэй байна уу?"
"Flush Cache Storage","Кеш агууламж хоослох"
Invalidated,Хүчингүй болгосон
Orders,Захиалгууд
Amounts,Дүнгүүд
Bestsellers,Хамгийн сайн зарагдсан
"Most Viewed Products","Хамгийн их харагдсан бүтээгдэхүүн"
"New Customers","Шинэ хэрэглэгч"
Customers,Хэрэглэгчид
Customer,Хэрэглэгч
Guest,Зочин
Items,Артикль
Total,Нийт дүн
"Lifetime Sales","Нийт зарагдалт"
"Average Order","Дундаж захиалга"
Average,Дундаж
Product,Бүтээгдэхүүн
Price,Үнэ
Quantity,Тоо хэмжээ
Views,Харагдаж
Revenue,Орлого
Tax,Татвар
Shipping,Хүргэлт
"Images (.gif, .jpg, .png)","Зургууд (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Медиа (.avi, .flv, .swf)"
"All Files","Бүх файлууд"
"Reset to Default","Стандарт тохиргоо руу буцаах"
"All Store Views","Бүх дэлгүүрийн харагдац"
"What is this?","Энэ юу вэ?"
"Save Account","Дансыг хадгалах"
"My Account","Миний данс"
"Account Information","Дансны мэдээлэл"
"User Name","Хэрэглэгчийн нэр"
"First Name","Нэр"
"Last Name","Овог"
Email,Э-мэйл
"User Email","Хэрэглэгчийн э-мэйл"
"New Password","Шинэ нууц үг"
"Password Confirmation","Нууц үг баталгаажуулах"
"Interface Locale","Интерфейс хэлний орчин"
"Current User Identity Verification","Идэвхитэй хэрэглэгчийн баримтын шалгалт"
"Your Password","Таны нууц үг"
"Save Cache Settings","Кеш тохиргоог хадгалах"
"Catalog Rewrites","Каталог дарж бичих"
Refresh,Шинэчилэх
"Images Cache","Зургуудын кеш"
Clear,Цэвэрлэх
"Search Index","Хайлтын индекс"
Rebuild,Дахин боловсруулах
"Inventory Stock Status","Агуулга дахь нөөц"
"Rebuild Catalog Index","Каталог индексийг дахин боловсруулах"
"Rebuild Flat Catalog Category","Флат Каталог Категорийг дахин боловсруулах"
"Rebuild Flat Catalog Product","Флат Каталог Бүтээгдэхүүнийг дахин боловсруулах"
"Cache Control","Кеш хяналт"
"All Cache","Бүх кеш"
"No change","Өөрчлөлтгүй"
Disable,Түгжих
Enable,Идэвхижүүлэх
"Add Design Change","Дизайны өөрчлөлт нэмэх"
Back,Буцах
Delete,Устгах
"Are you sure?","Та итгэлтэй байна уу?"
Save,Хадгалах
"Edit Design Change","Дизайны өөрчлөлтийг засварлах"
"New Store Design Change","Шинэ дэлгүүрийн дизайныг засварлах Change"
"General Settings","Ерөнхий тохируулга"
Store,Дэлгүүр
"-- Please Select --","-- Сонгоно уу --"
"Custom Design","Хэрэглэгч тодорхойлсон дизайн"
"Date From","Өдрөөс"
"Date To","Өдөр хүртэл"
"Design Change","Дизайн өөрчилөлт"
General,Ерөнхий
Cancel,Болих
"Delete %1 '%2'","Устгах %1 '%2'"
"Delete %1","Устгах %1"
"Block Information","Блок мэдээлэл"
"Backup Options","Нөөцийн сонголтууд"
"Create DB Backup","Өгөгдлийн сангын нөөц үүсгэх"
Yes,Тийм
No,Үгүй
"Delete Store","Дэлгүүр устгах"
"Delete Web Site","Вэбсайт устгах"
"Save Web Site","Вэбсайт хадгалах"
"Save Store","Дэлгүүр хадгалах"
"Save Store View","Дэлгүүрийн харагдац хадгалах"
"Delete Store View","Дэлгүүрийн харагдац устгах"
"Edit Web Site","Вэбсайт засварлах"
"New Web Site","Шинэ вэбсайт"
"Edit Store","Дэлгүүр засварлах"
"New Store","Шинэ дэлгүүр"
"Edit Store View","Дэлгүүрийн харагдац өөрчлөх"
"New Store View","Шинэ дэлгүүрийн харагдац"
"Store Information","Дэлгүүрийн мэдээлэл"
"Web Site","Вэбсайт"
Name,Нэр
"Root Category","Эх категори"
"Default Store View","Стандарт дэлгүүрийн харагдац"
"Store View Information","Дэлгүүрийн харагдацын мэдээлэл"
Code,Код
Status,Статус
Disabled,Идэвхигүй
Enabled,Идэвхитэй
"Sort Order","Эрэмбэлэх"
"Web Site Information","Вэбсайт мэдээлэл"
