"Now Shopping by","Худалдан авах аар"
Previous,Өмнөх
Remove,Арилгах
"Remove This Item","Энэ артиклыг хасах"
"Shop By","Худалдан авах аар"
"Clear All","Бүгдийг цэвэрлэх"
"Shopping Options","Худалдан авалтын сонголтууд"
"%name,","%name,"
"Welcome to %store_name.","%store_name дэлгүүрт тавтай морил."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Манай хуудсанд нэвтрэхийн тулд төлөх хуудсыг эсвэл <a href=""%customer_url"">Миний данс</a> хуудсыг хэрэглэнэ:"
Email:,Эмэйл:
Password:,"Нууц үг"
"Password you set when creating account","Таны данс үүсгэж байхдаа өгсөн нууц үг"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Тө өөрийн дансны нууц үгээ мартсан уу? Тэгвэл <a href=""%reset_url"">энд</a> дарж шинэчилнэ үү."
"When you sign in to your account, you will be able to:","Хэрэв та өөрийн дансаар орвол эдгээрийг хийх боломжтой байна:"
"Quick Checkout","Хурдан төлөх хуудас"
"Proceed through checkout faster","Төлөх хуудас дундуур хурдан үргэлжлүүлэх"
"Order Status","Захиалгын статус"
"Check the status of orders","Захиалгуудын статусыг шалгах"
"Manage Addresses","Хаягуудыг зохицуулах"
"Store alternative addresses","Дэлгүүрийн өөр нэг хаяг"
"For shipping to multiple family members and friends","For shipping to multiple family members and friends"
"Order History","Захиалгын түүх"
"View past orders","Сүүлийн захиалгуудыг үзэх"
"About Us","Бидний тухай"
"Customer Service","Хэрэглэгчийн сервис"
"<a href=""tel:%store_phone"">%store_phone</a>","<a href=""tel:%store_phone"">%store_phone</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Онгойх цагууд:<br /><span class=""no-link"">%store_hours</span>."
"Thank you for your order from %store_name.","Таньд %store_name дэлгүүрээс худалдан авалт хийсэнд баярлалаа."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","<a href=""%account_url"">Өөрийн данс руугаа нэвтэрч</a> захиалгынхаа статусыг шалгаж болно."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.","Хэрэв таньд захиалгатайгаа холбоотой ямар нэг асуулт байгаа бол <a href=""mailto:%store_email"">%store_email</a> эмэйл рүү бичээрэй."
"Your Credit Memo #%creditmemo_id for Order #%order_id","#%order_id захиалгад зориулсан таны эрхийн бичиг #%creditmemo_id"
"Billing Info","Тооцооны мэдээ"
"Shipping Info","Хүргэлтийн мэдээ"
"Payment Method","Төлбөрийн мэдээ"
"Shipping Method","Хүргэлтийн арга"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Таны захиалга #%increment_id өөрчилөгдсөн ба <strong>%order_status</strong> статустай байна."
"Your Invoice #%invoice_id for Order #%order_id","Захиалга #%order_id зориулсан нэхэмжлэл #%invoice_id"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Таны илгээмж илгээгдсэн тохиолдолд танд захиалга мөрдөх дугаарыг явуулах болно."
"Your Order <span class=""no-link"">#%increment_id</span>","Таны захиалга <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Үүсгэгдсэн <span class=""no-link"">%created_at</span>"
"Your shipping confirmation is below. Thank you again for your business.","Дараах бол таны хүргэлтийн мэдээлэл. Таны худалдаанд дахин баярласнаа илэрхийлье."
"Your Shipment #%shipment_id for Order #%order_id","Таны хүргэлт #%shipment_id for Order #%order_id"
