"Change Encryption Key","Шифрлэлт түлхүүр солих"
"Encryption Key","Шифрлэлт түлхүүр"
"New Encryption Key","Шинэ шифрлэлт түлхүүр"
"The encryption key is used to protect passwords and other sensitive data.","Шифрлэлт түлхүүр нь нууц үг болон чухал өгөгдөлийг хамгаалахад хэрэглэгдэнэ."
"Auto-generate a Key","Түлхүүр автоматаар үүсгэх"
No,Үгүй
Yes,Тийм
"The generated key will be displayed after changing.","Үүсгэгдсэн түлхүүр өөрчилсний дараа харагдана."
"New Key","Шинэ түлхүүр"
"Deployment configuration file is not writable.","Деплой тохируулга файл бичиж болохгүй байна."
"Please enter an encryption key.","Шифрлэлт түлхүүр оруулна уу."
"The encryption key has been changed.","Шифрлэлт түлхүүр өөрчилөгдсөн."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!","Энэ бол таны шинэ шифрлэлт түлхүүр: %1. Тэмдэглэж аваад сайн хадгална уу!"
