"Widget Insertion","Widget Оруулга"
"Insert Widget","Widget Оруулах"
label,шошго
Choose...,Сонгох...
Close,Хаах
"Not Selected","Сонгогдоогүй"
Widget,Widget
"Widget Type","Widget-н Төрөл"
"-- Please Select --","-- Сонгоно уу --"
"Manage Widget Instances","Widget Тохиолдлуудыг Удирдах"
"Add Widget","Widget нэмэх"
"Save and Continue Edit","Хадгалаад үргэлжлүүлэн засах"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Шинэ Widget Тохиолдол"
"Custom Layouts","Захиалгат Зохиомжууд"
"Page Layouts","Хуудсын Зохиомжууд"
"Please Select Container First","Эхлээд Агуулахаа Сонгоно уу"
"Storefront Properties","Дэлгүүрийн Шинж чанарууд"
Type,Төрөл
"Design Package/Theme","Багц/Сэдвийг Загварчлах"
"Widget Title","Widget-н Гарчиг"
"Assign to Store Views","Дэлгүүрийн Харагдац-д Даалгах"
"Sort Order","Захиалгыг Эрэмбэлэх"
"Sort Order of widget instances in the same container","Ижил агуулах дахь widget тохиолдлуудын захиалгыг эрэмбэлэх"
"Layout Updates","Зохиомжын Шинэчилэлтүүд"
Categories,Ангилалууд
"Anchor Categories","Anchor Ангилалууд"
"Non-Anchor Categories","Non-Anchor Ангилалууд"
"All Product Types","Бүтээгдэхүүний бүх төрлүүд"
Products,Бүтээгдэхүүнүүд
"Generic Pages","Ерөнхий Хуудаснууд"
"All Pages","Бүх Хуудас"
"Specified Page","Тодорхой Хуудас"
"Add Layout Update","Зохиомжын Шинэчилэл Нэмэх"
"Remove Layout Update","Зохиомжын Шинэчлэл Хасах"
"Widget Options","Widget Тохиргоонууд"
Settings,Тохируулга
"Design Theme","Сэдвийг Загварчлах"
Continue,Үргэлжлүүлэх
"Please specify a Widget Type.","Widget-н төрлийг тодорхойлно уу."
CMS,АУС
"Please specify a correct widget.","Зөв widget-г тодорхойлно уу."
"The widget instance has been deleted.","Widget тохиолдол устгагдсан байна."
"New Widget","Шинэ Widget"
Widgets,Widget-үүд
"The widget instance has been saved.","Widget тохиолдол хадгалагдлаа."
name,нэр
description,тайлбар
"We cannot create the widget instance because it is missing required information.","Шаардлагатай мэдээллүүд дутуу байгаа учир widget тохиолдол үүсгэх боломжгүй байна."
None,None
%1,%1
Container,Агуулах
Template,Загвар
All,Бүх
"Specific %1","Тодорхой %1"
"Open Chooser","Сонгогчыг Нээх"
Apply,Ашиглах
Page,Хуудас
"Orders and Returns","Захиалга болон Буцаалтууд"
"Orders and Returns Search Form","Захиалга болон Буцаалтууд Хайх Форм"
"Anchor Custom Title","Захиалгат Anchor Гарчиг"
"CMS Page Link Block Template","АУС Хуудсын Холбоос Block Загвар"
"CMS Page Link Inline Template","АУС Хуудсын Холбоос Inline Загвар"
"Display a Link to Loading a Spreadsheet","Хүснэгт ачааллах холбоосыг харуулах"
"Defines whether a link to My Account","Ямар ч үед Миний Бүртгэл-рүү холбохыг тодорхойлох"
"Link Text","Холбоосын Бичвэр"
"The text of the link to the My Account &gt; Order by SKU page","Миний Бүртгэл холбоосын бичвэр &gt; SKU хуудсын захиалга"
"Load a list of SKUs","SKU-н жагсаалтыг ачаалах"
Product,Бүтээгдэхүүн
"Select Product...","Бүтээгдэхүүн Сонгох..."
Conditions,Нөхцөлүүд
"Widget ID","Widget ID"
