"Add Tax","Татвар Нэмэх"
"Delete Tax","Татвар Хасах"
"All Websites","Бүх вебсайтууд"
FPT,FPT
"We found a duplicate of website, country and state fields for a fixed product tax","Бид бүтээгдэхүүний тогтмол татварын талбаруудын (вебсайт, улс, аймаг) хуулбарыг оллоо"
"Including FPT only","Зөвхөн БТТ-г оруулж байна"
"Including FPT and FPT description","БТТ болон БТТ тайлбарыг оруулж байна"
"Excluding FPT. Including FPT description and final price","БТТ-г гаргаж байна. БТТ тайлбар болон эцсийн дүнг оруулж байна"
"Excluding FPT","БТТ-г гаргаж байна"
label_value,label_value
frontend_label,frontend_label
"Fixed Product Tax","Бүтээгдэхүүний Тогтмол Татвар"
"Excl. Tax","Татваргүй"
Total,Нийт
"Incl. Tax","Татвартай"
"Total Incl. Tax","Татвар оролцуулсан нийт дүн"
Website,Вебсайт
Country/State,Улс/Аймаг
Tax,Татвар
Action,Үйлдэл
"Final Price","Эцсийн Дүн"
"Fixed Product Taxes","Бүтээгдэхүүний Тогтмол Татвар"
"Enable FPT","БТТ-г идэвхжүүлэх"
"Display Prices In Product Lists","Бүтээгдэхүүний жагсаалтад үнийг харуулах"
"Display Prices On Product View Page","Бүтээгдэхүүний дэлгэрэнгүй хуудсанд үнийг харуулах"
"Display Prices In Sales Modules","Борлуулалтын модульд үнийг харуулах"
"Display Prices In Emails","И-мэйлд үнийг харуулах"
"Apply Tax To FPT","БТТ-д татвар бодох"
"Include FPT In Subtotal","Завсрын дүнд БТТ-г оролцуулах"
